Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,Toperror,Righterror,Downerror,Lefterror,Misspellratio,Tokens
10, 32,0.186,634,3.686,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,179,1.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,35,0.203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.026,172
10, 25,0.255,366,3.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.194,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.043,98
10, 19,0.158,493,4.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.025,0,0,0,0,0,0,0,0,19,0.158,1,0.008,0,0,0,0,0,0,0,0,0,9,0,3,0.079,120
10, 35,0.167,768,3.657,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0,224,1.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.029,0,0,0,0,0,0,0,0,35,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026,210
10, 0,0,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10, 16,0.096,559,3.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,0,0,0,0,32,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
10, 15,0.113,457,3.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008,0,0,0,0,0,0,0,0,18,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
10, 20,0.143,442,3.157,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014,0,0,0,0,150,1.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.021,1,0.007,1,0.007,0,0,0,0,24,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
10, 32,0.149,755,3.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,215
10, 34,0.173,682,3.48,0,0,0,0,0,0,0,0,0,0,0,0,8,0.041,0,0,0,0,209,1.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.02,2,0.01,2,0.01,0,0,0,0,34,0.173,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.052,196
10, 58,0.191,1124,3.71,0,0,0,0,0,0,0,0,0,0,0,0,10,0.033,0,0,0,0,305,1.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.013,3,0.01,3,0.01,0,0,0,0,48,0.158,1,0.003,1,0.003,0,0,0,0,0,0,0,15,0,4,0.085,303
10, 9,0.214,134,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,42
10, 58,0.178,1150,3.538,0,0,0,0,0,0,0,0,0,0,0,0,3,0.009,0,0,0,0,329,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.012,0,0,0,0,0,0,0,0,48,0.148,1,0.003,0,0,0,0,0,0,0,0,0,3,1,1,0.041,325
10, 80,0.241,1195,3.599,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,0,0,0,0,339,1.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.021,0,0,0,0,0,0,0,0,47,0.142,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0.034,332
23, 35,0.105,1303,3.901,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,0,0,0,0,342,1.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,2,0.006,0,0,0,0,45,0.135,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0.063,334
23, 23,0.097,752,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,54,0.227,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.127,238
23, 60,0.106,2098,3.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0.004,0,0,0,0,554,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.011,2,0.004,2,0.004,0,0,0,0,84,0.148,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.045,567
23, 30,0.102,1123,3.833,0,0,0,0,0,0,0,0,0,0,0,0,21,0.072,0,0,0,0,286,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.014,0,0,0,0,0,0,0,0,62,0.212,3,0.01,0,0,0,0,0,0,0,0,1,8,0,4,0.038,293
23, 28,0.137,630,3.073,0,0,0,0,0,0,0,0,0,0,0,0,10,0.049,0,0,0,0,192,0.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,5,0.024,5,0.024,0,0,0,0,45,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.033,205
23, 7,0.097,228,3.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,72
23, 21,0.138,538,3.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.013,1,0.007,1,0.007,0,0,0,0,24,0.158,4,0.026,0,0,0,0,0,0,0,0,0,5,0,2,0.08,152
23, 66,0.11,2113,3.522,0,0,0,0,0,0,0,0,0,0,0,0,16,0.027,0,0,0,0,568,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.005,2,0.003,2,0.003,0,0,0,0,91,0.152,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0.057,600
23, 32,0.129,895,3.594,0,0,0,0,0,0,0,0,0,0,0,0,3,0.012,0,0,0,0,236,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.008,4,0.016,4,0.016,0,0,0,0,44,0.177,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0.083,249
23, 8,0.119,245,3.657,0,0,0,0,0,0,0,0,0,0,0,0,6,0.09,0,0,0,0,72,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
23, 83,0.217,1218,3.188,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0,368,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,2,0.005,0,0,0,0,88,0.23,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.016,382
23, 40,0.078,1852,3.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,0,0,0,0,0,0,96,0.187,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.024,514
23, 44,0.122,1171,3.244,0,0,0,0,0,0,0,0,0,0,0,0,24,0.066,0,0,0,0,338,0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.008,3,0.008,2,0.006,0,0,0,0,85,0.235,0,0,0,0,0,0,0,0,0,0,1,6,0,7,0.118,361
23, 43,0.157,723,2.639,0,0,0,0,0,0,0,0,0,0,0,0,4,0.015,0,0,0,0,224,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0.347,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.014,274
23, 20,0.077,920,3.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.012,0,0,0,0,0,0,0,0,44,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,260
26, 1,0.143,23,3.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
26, 1,0.2,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
26, 2,0.111,44,2.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
26, 40,0.099,1474,3.631,0,0,0,0,0,0,0,0,0,0,0,0,14,0.034,0,0,0,0,359,0.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.025,2,0.005,2,0.005,0,0,0,0,74,0.182,2,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.007,406
26, 2,0.063,106,3.313,0,0,0,0,0,0,0,0,0,0,0,0,2,0.063,0,0,0,0,50,1.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
26, 1,0.143,17,2.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
26, 0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,3
26, 2,0.083,59,2.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067,24
26, 2,0.182,38,3.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,11
26, 1,0.067,61,4.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
26, 1,0.1,37,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.143,10
26, 1,0.167,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
26, 1,0.125,19,2.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26, 0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26, 20,0.099,733,3.629,0,0,0,0,0,0,0,0,0,0,0,0,7,0.035,0,0,0,0,187,0.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.025,1,0.005,1,0.005,0,0,0,0,37,0.183,1,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.007,202
27, 30,0.166,603,3.331,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,175,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.011,3,0.017,3,0.017,0,0,0,0,31,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,181
27, 86,0.134,2183,3.411,0,0,0,0,0,0,0,0,0,0,0,0,15,0.023,0,0,0,0,594,0.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.005,5,0.008,5,0.008,0,0,0,0,83,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.014,640
27, 58,0.225,824,3.194,0,0,0,0,0,0,0,0,0,0,0,0,10,0.039,0,0,0,0,243,0.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.016,4,0.016,0,0,0,0,41,0.159,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.042,258
